SNP,Chromosome,Position,DF,t Value,std Error,effect
GlymaLee.03G038100.1.p,3,5563744,NA,NA,NA,NA
GlymaLee.03G038300.1.p,3,5588253,NA,NA,NA,NA
GlymaLee.03G038500.1.p,3,5611702,NA,NA,NA,NA
GlymaLee.03G038800.1.p,3,5637678,NA,NA,NA,NA
GlymaLee.03G039000.1.p,3,5651400,NA,NA,NA,NA
GlymaLee.03G039200.1.p,3,5665320,NA,NA,NA,NA
GlymaLee.03G039400.1.p,3,5680735,NA,NA,NA,NA
GlymaLee.03G039500.1.p,3,5733082,NA,NA,NA,NA
GlymaLee.03G039700.1.p,3,5751918,NA,NA,NA,NA
GlymaLee.03G040000.1.p,3,5773934,73,-0.102052496066801,NA,-0.0513698630137043
GlymaLee.03G040100.1.p,3,5804238,NA,NA,NA,NA
GlymaLee.03G040900.1.p,3,5971326,NA,NA,NA,NA
GlymaLee.03G041400.1.p,3,6062129,NA,NA,NA,NA
GlymaLee.03G041800.1.p,3,6104573,NA,NA,NA,NA
GlymaLee.03G042000.1.p,3,6150979,73,-1.54459869076673,NA,-0.405783582089553
GlymaLee.03G042100.1.p,3,6157517,73,-1.74387381722732,NA,-0.300000000000001
GlymaLee.03G042400.1.p,3,6211283,NA,NA,NA,NA
GlymaLee.03G042500.1.p,3,6226108,NA,NA,NA,NA
GlymaLee.03G042700.1.p,3,6250576,NA,NA,NA,NA
GlymaLee.03G045200.1.p,3,6929561,NA,NA,NA,NA
GlymaLee.03G045400.1.p,3,7010015,73,2.30692821913019,NA,0.75
GlymaLee.03G045500.1.p,3,7060057,73,-2.20282815723718,NA,-0.392367066895368
GlymaLee.03G045600.1.p,3,7085900,73,-1.46950115225143,NA,-0.409663865546218
GlymaLee.03G045700.1.p,3,7283388,73,-2.07883556780051,NA,-0.394736842105265
GlymaLee.03G045900.1.p,3,7388482,73,-1.77675318769912,NA,-0.331296992481203
GlymaLee.03G061600.1.p,3,20107010,NA,NA,NA,NA
GlymaLee.03G061700.1.p,3,20185367,NA,NA,NA,NA
GlymaLee.03G063600.1.p,3,20705374,NA,NA,NA,NA
GlymaLee.03G070200.1.p,3,27843327,NA,NA,NA,NA
GlymaLee.03G070300.1.p,3,27850455,NA,NA,NA,NA
GlymaLee.03G070600.1.p,3,27977340,73,0.219513959795817,NA,0.0792253521126725
GlymaLee.03G070700.1.p,3,28015986,73,-0.329561174161457,NA,-0.107142857142858
GlymaLee.03G106900.1.p,3,37417116,NA,NA,NA,NA
GlymaLee.04G100300.1.p,4,12354255,NA,NA,NA,NA
GlymaLee.04G106500.1.p,4,16155413,NA,NA,NA,NA
GlymaLee.04G114600.1.p,4,20940413,NA,NA,NA,NA
GlymaLee.04G180300.1.p,4,50366582,NA,NA,NA,NA
GlymaLee.05G006600.1.p,5,674490,NA,NA,NA,NA
GlymaLee.05G044700.1.p,5,4317947,NA,NA,NA,NA
GlymaLee.05G074800.1.p,5,17112562,NA,NA,NA,NA
GlymaLee.05G075000.1.p,5,17417131,NA,NA,NA,NA
GlymaLee.05G075100.1.p,5,17431118,NA,NA,NA,NA
GlymaLee.05G141100.1.p,5,36828213,NA,NA,NA,NA
GlymaLee.05G141200.1.p,5,36849428,NA,NA,NA,NA
GlymaLee.05G180500.1.p,5,40385723,NA,NA,NA,NA
GlymaLee.06G065700.1.p,6,5804395,NA,NA,NA,NA
GlymaLee.06G134700.1.p,6,12243059,NA,NA,NA,NA
GlymaLee.06G154900.1.p,6,14310847,NA,NA,NA,NA
GlymaLee.06G210500.1.p,6,39789762,NA,NA,NA,NA
GlymaLee.06G215900.1.p,6,42620765,NA,NA,NA,NA
GlymaLee.06G221200.1.p,6,44269195,NA,NA,NA,NA
GlymaLee.06G222300.1.p,6,44764891,NA,NA,NA,NA
GlymaLee.06G222400.1.p,6,44772415,NA,NA,NA,NA
GlymaLee.06G222600.1.p,6,44799304,NA,NA,NA,NA
GlymaLee.06G224900.1.p,6,45656875,NA,NA,NA,NA
GlymaLee.06G225200.1.p,6,45687123,NA,NA,NA,NA
GlymaLee.06G225500.1.p,6,45787117,NA,NA,NA,NA
GlymaLee.06G225900.1.p,6,45819631,NA,NA,NA,NA
GlymaLee.06G226600.1.p,6,46071900,NA,NA,NA,NA
GlymaLee.06G226700.1.p,6,46115672,NA,NA,NA,NA
GlymaLee.06G226900.1.p,6,46185376,NA,NA,NA,NA
GlymaLee.06G227000.1.p,6,46209758,NA,NA,NA,NA
GlymaLee.06G228600.1.p,6,46476226,73,-1.16603747827387,NA,-0.257936507936508
GlymaLee.06G228700.1.p,6,46517229,NA,NA,NA,NA
GlymaLee.06G228800.1.p,6,46527925,NA,NA,NA,NA
GlymaLee.06G228900.1.p,6,46534448,73,-0.967327148608012,NA,-0.230769230769226
GlymaLee.06G229100.1.p,6,46555554,73,0.789257360413014,NA,0.128022759601707
GlymaLee.06G229300.1.p,6,46582039,73,-0.267105518723978,NA,-0.0439882697947205
GlymaLee.06G229500.1.p,6,46668585,73,-1.14676435816199,NA,-0.810810810810807
GlymaLee.06G229600.1.p,6,46698045,NA,NA,NA,NA
GlymaLee.06G229700.1.p,6,46699702,NA,NA,NA,NA
GlymaLee.06G229900.1.p,6,46723582,NA,NA,NA,NA
GlymaLee.06G230500.1.p,6,46786660,73,1.00092082894097,NA,0.190058479532162
GlymaLee.06G230600.1.p,6,46799742,73,1.2278058581322,NA,0.218696397941681
GlymaLee.06G230700.1.p,6,46812230,NA,NA,NA,NA
GlymaLee.06G231000.1.p,6,46871644,NA,NA,NA,NA
GlymaLee.06G231200.1.p,6,46893441,NA,NA,NA,NA
GlymaLee.06G232600.1.p,6,47173084,73,-2.60596359485183,NA,-0.778985507246375
GlymaLee.06G232700.1.p,6,47180056,NA,NA,NA,NA
GlymaLee.06G232800.1.p,6,47279730,73,-0.270092255454754,NA,-0.0449775112443782
GlymaLee.06G233000.1.p,6,47349640,NA,NA,NA,NA
GlymaLee.06G233100.1.p,6,47355671,NA,NA,NA,NA
GlymaLee.06G245700.1.p,6,48987563,NA,NA,NA,NA
GlymaLee.06G266800.1.p,6,51426995,NA,NA,NA,NA
GlymaLee.06G267800.1.p,6,51542518,NA,NA,NA,NA
GlymaLee.06G267900.1.p,6,51554381,73,-1.17463035411044,NA,-0.486111111111121
GlymaLee.06G268000.1.p,6,51560746,NA,NA,NA,NA
GlymaLee.06G271900.1.p,6,52031371,NA,NA,NA,NA
GlymaLee.06G274000.1.p,6,52237703,NA,NA,NA,NA
GlymaLee.06G276900.1.p,6,52511407,NA,NA,NA,NA
GlymaLee.07G007100.1.p,7,590004,NA,NA,NA,NA
GlymaLee.07G034100.1.p,7,3091885,NA,NA,NA,NA
GlymaLee.07G058000.1.p,7,5651677,NA,NA,NA,NA
GlymaLee.07G058200.1.p,7,5681620,NA,NA,NA,NA
GlymaLee.07G058700.1.p,7,5732405,NA,NA,NA,NA
GlymaLee.07G059300.1.p,7,5796034,NA,NA,NA,NA
GlymaLee.07G059500.1.p,7,5847947,73,0.286691089540507,NA,0.202702702702709
GlymaLee.07G059600.1.p,7,5875743,NA,NA,NA,NA
GlymaLee.07G059800.1.p,7,5914021,73,0.286691089540507,NA,0.202702702702709
GlymaLee.07G060000.1.p,7,5946726,73,-0.75511951335673,NA,-0.312500000000014
GlymaLee.07G060100.1.p,7,5995484,NA,NA,NA,NA
GlymaLee.07G060500.1.p,7,6058981,NA,NA,NA,NA
GlymaLee.07G060700.1.p,7,6105953,NA,NA,NA,NA
GlymaLee.07G060900.1.p,7,6147155,NA,NA,NA,NA
GlymaLee.07G062700.1.p,7,6366682,NA,NA,NA,NA
GlymaLee.07G070200.1.p,7,7130614,73,-0.621712025952519,NA,-0.17331932773109
GlymaLee.07G071900.1.p,7,7359820,NA,NA,NA,NA
GlymaLee.07G072200.1.p,7,7399371,NA,NA,NA,NA
GlymaLee.07G109600.1.p,7,14869276,NA,NA,NA,NA
GlymaLee.07G162300.1.p,7,37687600,NA,NA,NA,NA
GlymaLee.07G165000.1.p,7,37986467,NA,NA,NA,NA
GlymaLee.08G007100.1.p,8,619445,NA,NA,NA,NA
GlymaLee.08G015100.1.p,8,1298034,NA,NA,NA,NA
GlymaLee.08G109900.1.p,8,9311239,NA,NA,NA,NA
GlymaLee.08G110100.1.p,8,9320987,NA,NA,NA,NA
GlymaLee.08G114200.1.p,8,9615537,NA,NA,NA,NA
GlymaLee.08G114400.1.p,8,9633143,NA,NA,NA,NA
GlymaLee.08G148400.1.p,8,12617345,NA,NA,NA,NA
GlymaLee.08G179300.1.p,8,15834035,NA,NA,NA,NA
GlymaLee.08G237000.1.p,8,23933642,NA,NA,NA,NA
GlymaLee.08G263100.1.p,8,42205298,NA,NA,NA,NA
GlymaLee.08G264200.1.p,8,42343082,NA,NA,NA,NA
GlymaLee.08G264300.1.p,8,42346170,NA,NA,NA,NA
GlymaLee.08G264400.1.p,8,42368363,NA,NA,NA,NA
GlymaLee.08G269300.1.p,8,43260476,NA,NA,NA,NA
GlymaLee.08G269900.1.p,8,43317052,NA,NA,NA,NA
GlymaLee.08G271300.1.p,8,43497064,NA,NA,NA,NA
GlymaLee.08G273100.1.p,8,43693331,NA,NA,NA,NA
GlymaLee.08G277900.1.p,8,44332756,NA,NA,NA,NA
GlymaLee.08G283400.1.p,8,45036636,NA,NA,NA,NA
GlymaLee.08G283700.1.p,8,45057607,NA,NA,NA,NA
GlymaLee.08G284000.1.p,8,45077574,NA,NA,NA,NA
GlymaLee.08G285100.1.p,8,45191577,NA,NA,NA,NA
GlymaLee.08G288600.1.p,8,45508007,NA,NA,NA,NA
GlymaLee.08G294100.1.p,8,46007944,NA,NA,NA,NA
GlymaLee.09G019800.1.p,9,1651369,NA,NA,NA,NA
GlymaLee.09G020100.1.p,9,1671880,NA,NA,NA,NA
GlymaLee.09G051200.1.p,9,5198230,NA,NA,NA,NA
GlymaLee.09G051600.1.p,9,5258643,NA,NA,NA,NA
GlymaLee.09G067100.1.p,9,8373049,NA,NA,NA,NA
GlymaLee.09G125700.1.p,9,39050031,NA,NA,NA,NA
GlymaLee.09G171300.1.p,9,43917982,NA,NA,NA,NA
GlymaLee.09G171400.1.p,9,43924932,NA,NA,NA,NA
GlymaLee.09G172100.1.p,9,43999661,NA,NA,NA,NA
GlymaLee.09G172900.1.p,9,44104510,NA,NA,NA,NA
GlymaLee.09G215000.1.p,9,47871591,NA,NA,NA,NA
GlymaLee.10G034600.1.p,10,3320931,73,1.34243469041189,NA,0.55555555555555
GlymaLee.10G099200.1.p,10,32505353,NA,NA,NA,NA
GlymaLee.10G152400.1.p,10,43778251,NA,NA,NA,NA
GlymaLee.10G152500.1.p,10,43785173,NA,NA,NA,NA
GlymaLee.10G164600.1.p,10,44845779,NA,NA,NA,NA
GlymaLee.11G021000.1.p,11,1651680,NA,NA,NA,NA
GlymaLee.11G054400.1.p,11,4524313,NA,NA,NA,NA
GlymaLee.11G067000.1.p,11,5463033,NA,NA,NA,NA
GlymaLee.11G142500.1.p,11,14623646,NA,NA,NA,NA
GlymaLee.11G142600.1.p,11,14628450,NA,NA,NA,NA
GlymaLee.11G154600.1.p,11,16696092,NA,NA,NA,NA
GlymaLee.11G167500.1.p,11,18786132,NA,NA,NA,NA
GlymaLee.11G195100.1.p,11,35545191,NA,NA,NA,NA
GlymaLee.12G011200.1.p,12,858341,NA,NA,NA,NA
GlymaLee.12G025100.1.p,12,1975308,NA,NA,NA,NA
GlymaLee.12G115400.1.p,12,15171013,NA,NA,NA,NA
GlymaLee.12G115500.1.p,12,15191230,NA,NA,NA,NA
GlymaLee.12G115600.1.p,12,15203434,NA,NA,NA,NA
GlymaLee.12G118000.1.p,12,16022091,NA,NA,NA,NA
GlymaLee.12G118800.1.p,12,16326846,NA,NA,NA,NA
GlymaLee.12G136000.1.p,12,33968631,NA,NA,NA,NA
GlymaLee.12G180800.1.p,12,39988123,NA,NA,NA,NA
GlymaLee.12G186300.1.p,12,40640277,NA,NA,NA,NA
GlymaLee.12G189000.1.p,12,40923234,NA,NA,NA,NA
GlymaLee.12G202200.1.p,12,42436406,NA,NA,NA,NA
GlymaLee.12G204900.1.p,12,42721983,NA,NA,NA,NA
GlymaLee.12G205400.1.p,12,42763649,NA,NA,NA,NA
GlymaLee.12G205500.1.p,12,42775002,NA,NA,NA,NA
GlymaLee.12G205800.1.p,12,42800191,NA,NA,NA,NA
GlymaLee.13G009700.1.p,13,6034296,NA,NA,NA,NA
GlymaLee.13G046600.1.p,13,16787959,NA,NA,NA,NA
GlymaLee.13G046900.1.p,13,16816579,NA,NA,NA,NA
GlymaLee.13G049500.1.p,13,17537148,73,0.659122348322903,NA,0.214285714285712
GlymaLee.13G051000.1.p,13,17924849,NA,NA,NA,NA
GlymaLee.13G062500.1.p,13,20269001,NA,NA,NA,NA
GlymaLee.13G151400.1.p,13,30002134,NA,NA,NA,NA
GlymaLee.13G151600.1.p,13,30017833,NA,NA,NA,NA
GlymaLee.13G154300.1.p,13,30326779,NA,NA,NA,NA
GlymaLee.13G154600.1.p,13,30359315,NA,NA,NA,NA
GlymaLee.13G156000.1.p,13,30510367,NA,NA,NA,NA
GlymaLee.13G156400.1.p,13,30544632,NA,NA,NA,NA
GlymaLee.13G156500.1.p,13,30559549,NA,NA,NA,NA
GlymaLee.13G156700.1.p,13,30582610,NA,NA,NA,NA
GlymaLee.13G157700.1.p,13,30689946,NA,NA,NA,NA
GlymaLee.13G158500.1.p,13,30802411,NA,NA,NA,NA
GlymaLee.13G158700.1.p,13,30820793,NA,NA,NA,NA
GlymaLee.13G159400.1.p,13,30885312,NA,NA,NA,NA
GlymaLee.13G159800.1.p,13,30923608,NA,NA,NA,NA
GlymaLee.13G159900.1.p,13,30939635,NA,NA,NA,NA
GlymaLee.13G160000.1.p,13,30953734,NA,NA,NA,NA
GlymaLee.13G160100.1.p,13,30973637,NA,NA,NA,NA
GlymaLee.13G160200.1.p,13,31003814,NA,NA,NA,NA
GlymaLee.13G160300.1.p,13,31013237,NA,NA,NA,NA
GlymaLee.13G160800.1.p,13,31078141,NA,NA,NA,NA
GlymaLee.13G206400.1.p,13,35462559,NA,NA,NA,NA
GlymaLee.13G222600.1.p,13,36742946,NA,NA,NA,NA
GlymaLee.13G222900.1.p,13,36760681,NA,NA,NA,NA
GlymaLee.13G239800.1.p,13,38408483,NA,NA,NA,NA
GlymaLee.14G008300.1.p,14,684555,NA,NA,NA,NA
GlymaLee.14G022000.1.p,14,1789365,73,-1.46950115225143,NA,-0.409663865546218
GlymaLee.14G022100.1.p,14,1792694,NA,NA,NA,NA
GlymaLee.14G022200.1.p,14,1797051,73,-0.612314976400763,NA,-0.308219178082204
GlymaLee.14G042600.1.p,14,3858091,NA,NA,NA,NA
GlymaLee.14G070300.1.p,14,6837075,NA,NA,NA,NA
GlymaLee.14G070400.1.p,14,6844059,NA,NA,NA,NA
GlymaLee.14G119100.1.p,14,29127999,NA,NA,NA,NA
GlymaLee.14G149700.1.p,14,47420400,NA,NA,NA,NA
GlymaLee.14G161100.1.p,14,48754941,NA,NA,NA,NA
GlymaLee.14G165700.1.p,14,49271082,NA,NA,NA,NA
GlymaLee.14G165800.1.p,14,49290633,NA,NA,NA,NA
GlymaLee.14G165900.1.p,14,49308554,NA,NA,NA,NA
GlymaLee.14G166100.1.p,14,49335508,NA,NA,NA,NA
GlymaLee.14G166400.1.p,14,49370087,NA,NA,NA,NA
GlymaLee.14G167500.1.p,14,49516669,NA,NA,NA,NA
GlymaLee.14G168000.1.p,14,49540249,NA,NA,NA,NA
GlymaLee.15G023400.1.p,15,2063130,NA,NA,NA,NA
GlymaLee.15G066600.1.p,15,5479857,NA,NA,NA,NA
GlymaLee.15G117600.1.p,15,10039922,NA,NA,NA,NA
GlymaLee.15G118900.1.p,15,10154154,NA,NA,NA,NA
GlymaLee.15G119000.1.p,15,10164829,NA,NA,NA,NA
GlymaLee.15G139800.1.p,15,12741336,NA,NA,NA,NA
GlymaLee.15G139900.1.p,15,12749474,NA,NA,NA,NA
GlymaLee.15G146800.1.p,15,13819653,NA,NA,NA,NA
GlymaLee.15G153200.1.p,15,15147600,73,1.720146537243,NA,1.21621621621622
GlymaLee.15G168400.1.p,15,19621667,NA,NA,NA,NA
GlymaLee.15G195000.1.p,15,44317633,NA,NA,NA,NA
GlymaLee.15G195300.1.p,15,44475193,NA,NA,NA,NA
GlymaLee.15G198600.1.p,15,46360913,73,-0.146342639863888,NA,-0.0528169014084519
GlymaLee.15G198700.1.p,15,46369703,NA,NA,NA,NA
GlymaLee.15G198800.1.p,15,46378414,NA,NA,NA,NA
GlymaLee.15G199000.1.p,15,46557742,NA,NA,NA,NA
GlymaLee.15G199200.1.p,15,46802755,73,-1.61451343145613,NA,-0.357142857142858
GlymaLee.15G199300.1.p,15,46823772,73,1.48920910351843e-14,NA,3.5527136788005e-15
GlymaLee.15G199500.1.p,15,46964277,73,-0.743590294133304,NA,-0.136363636363635
GlymaLee.15G199700.1.p,15,47014727,NA,NA,NA,NA
GlymaLee.15G200300.1.p,15,47181737,NA,NA,NA,NA
GlymaLee.15G200400.1.p,15,47204967,NA,NA,NA,NA
GlymaLee.15G200500.1.p,15,47217138,NA,NA,NA,NA
GlymaLee.15G209600.1.p,15,50909354,NA,NA,NA,NA
GlymaLee.15G209700.1.p,15,50943013,NA,NA,NA,NA
GlymaLee.16G005100.1.p,16,516520,NA,NA,NA,NA
GlymaLee.16G028200.1.p,16,2995675,NA,NA,NA,NA
GlymaLee.16G028300.1.p,16,3021693,NA,NA,NA,NA
GlymaLee.16G030300.1.p,16,3208588,NA,NA,NA,NA
GlymaLee.16G070100.1.p,16,8218772,NA,NA,NA,NA
GlymaLee.16G074200.1.p,16,10068645,NA,NA,NA,NA
GlymaLee.16G074500.1.p,16,10085550,NA,NA,NA,NA
GlymaLee.16G074700.1.p,16,10096732,NA,NA,NA,NA
GlymaLee.16G075000.1.p,16,10287565,NA,NA,NA,NA
GlymaLee.16G075200.1.p,16,10446071,NA,NA,NA,NA
GlymaLee.16G075300.1.p,16,10595325,NA,NA,NA,NA
GlymaLee.16G075400.1.p,16,10631466,NA,NA,NA,NA
GlymaLee.16G075600.1.p,16,10739381,NA,NA,NA,NA
GlymaLee.16G098200.1.p,16,28080819,NA,NA,NA,NA
GlymaLee.16G104500.1.p,16,29676141,NA,NA,NA,NA
GlymaLee.16G110700.1.p,16,30942421,NA,NA,NA,NA
GlymaLee.16G111100.1.p,16,30967558,73,-1.18690477681846,NA,-0.330882352941174
GlymaLee.16G111300.1.p,16,30996392,73,0.179390381272903,NA,0.0396825396825395
GlymaLee.16G111400.1.p,16,31003491,73,-1.14676435816199,NA,-0.810810810810807
GlymaLee.16G111500.1.p,16,31012672,73,-0.0565192750865822,NA,-0.0157563025210052
GlymaLee.16G111800.1.p,16,31038684,NA,NA,NA,NA
GlymaLee.16G111900.1.p,16,31098697,NA,NA,NA,NA
GlymaLee.16G112000.1.p,16,31106993,NA,NA,NA,NA
GlymaLee.16G112100.1.p,16,31118241,NA,NA,NA,NA
GlymaLee.16G112200.1.p,16,31151865,NA,NA,NA,NA
GlymaLee.16G120500.1.p,16,32541641,NA,NA,NA,NA
GlymaLee.16G130700.1.p,16,33631317,NA,NA,NA,NA
GlymaLee.16G130800.1.p,16,33636259,73,-1.1130880434133,NA,-0.277777777777779
GlymaLee.16G130900.1.p,16,33646165,NA,NA,NA,NA
GlymaLee.16G131000.1.p,16,33660472,NA,NA,NA,NA
GlymaLee.16G131100.1.p,16,33666467,NA,NA,NA,NA
GlymaLee.16G131200.1.p,16,33672537,NA,NA,NA,NA
GlymaLee.16G131300.1.p,16,33674918,NA,NA,NA,NA
GlymaLee.16G131400.1.p,16,33681583,NA,NA,NA,NA
GlymaLee.16G160900.1.p,16,37287982,NA,NA,NA,NA
GlymaLee.16G170500.1.p,16,38117825,NA,NA,NA,NA
GlymaLee.16G172000.1.p,16,38246739,NA,NA,NA,NA
GlymaLee.16G172200.1.p,16,38260624,NA,NA,NA,NA
GlymaLee.16G172700.1.p,16,38308832,NA,NA,NA,NA
GlymaLee.16G173600.1.p,16,38342860,NA,NA,NA,NA
GlymaLee.16G174900.1.p,16,38440887,NA,NA,NA,NA
GlymaLee.16G175100.1.p,16,38454532,NA,NA,NA,NA
GlymaLee.16G175200.1.p,16,38454349,73,-2.01365203561789,NA,-0.83333333333335
GlymaLee.16G175400.1.p,16,38469347,NA,NA,NA,NA
GlymaLee.16G175500.1.p,16,38489349,73,1.48920910351843e-14,NA,3.5527136788005e-15
GlymaLee.16G175600.1.p,16,38496432,73,-0.607138932770894,NA,-0.151515151515152
GlymaLee.16G175900.1.p,16,38505422,NA,NA,NA,NA
GlymaLee.16G176100.1.p,16,38515515,NA,NA,NA,NA
GlymaLee.16G176300.1.p,16,38530475,NA,NA,NA,NA
GlymaLee.16G176400.1.p,16,38536574,NA,NA,NA,NA
GlymaLee.16G176500.1.p,16,38555385,NA,NA,NA,NA
GlymaLee.16G176600.1.p,16,38559905,NA,NA,NA,NA
GlymaLee.16G176700.1.p,16,38562059,NA,NA,NA,NA
GlymaLee.16G176800.1.p,16,38572706,NA,NA,NA,NA
GlymaLee.17G162400.1.p,17,20167904,NA,NA,NA,NA
GlymaLee.17G162500.1.p,17,20228508,NA,NA,NA,NA
GlymaLee.17G162600.1.p,17,20543643,NA,NA,NA,NA
GlymaLee.17G162900.1.p,17,20631792,NA,NA,NA,NA
GlymaLee.17G163000.1.p,17,20739767,NA,NA,NA,NA
GlymaLee.17G163100.1.p,17,20922298,NA,NA,NA,NA
GlymaLee.17G214800.1.p,17,41511226,NA,NA,NA,NA
GlymaLee.17G214900.1.p,17,41517999,NA,NA,NA,NA
GlymaLee.18G070200.1.p,18,7519212,NA,NA,NA,NA
GlymaLee.18G073900.1.p,18,8053397,NA,NA,NA,NA
GlymaLee.18G074000.1.p,18,8081161,NA,NA,NA,NA
GlymaLee.18G075500.1.p,18,8282205,NA,NA,NA,NA
GlymaLee.18G075700.1.p,18,8318081,73,-2.03469390311737,NA,-0.567226890756302
GlymaLee.18G075800.1.p,18,8358517,NA,NA,NA,NA
GlymaLee.18G075900.1.p,18,8369951,NA,NA,NA,NA
GlymaLee.18G076200.1.p,18,8414743,NA,NA,NA,NA
GlymaLee.18G076300.1.p,18,8428804,73,-2.01365203561789,NA,-0.83333333333335
GlymaLee.18G076500.1.p,18,8487373,NA,NA,NA,NA
GlymaLee.18G076600.1.p,18,8530607,73,-1.63283993706866,NA,-0.82191780821919
GlymaLee.18G076800.1.p,18,8568492,NA,NA,NA,NA
GlymaLee.18G080600.1.p,18,9119027,NA,NA,NA,NA
GlymaLee.18G080800.1.p,18,9132164,NA,NA,NA,NA
GlymaLee.18G080900.1.p,18,9200912,NA,NA,NA,NA
GlymaLee.18G081000.1.p,18,9207899,NA,NA,NA,NA
GlymaLee.18G081100.1.p,18,9244416,73,0.408209984267147,NA,0.205479452054789
GlymaLee.18G081200.1.p,18,9377564,NA,NA,NA,NA
GlymaLee.18G085100.1.p,18,10191757,NA,NA,NA,NA
GlymaLee.18G089200.1.p,18,11557053,NA,NA,NA,NA
GlymaLee.18G097300.1.p,18,14178476,NA,NA,NA,NA
GlymaLee.18G098100.1.p,18,14463037,NA,NA,NA,NA
GlymaLee.18G104200.1.p,18,17213420,NA,NA,NA,NA
GlymaLee.18G104300.1.p,18,17215907,NA,NA,NA,NA
GlymaLee.18G104400.1.p,18,17220440,NA,NA,NA,NA
GlymaLee.18G144600.1.p,18,48153662,NA,NA,NA,NA
GlymaLee.18G174700.1.p,18,53641995,NA,NA,NA,NA
GlymaLee.18G175100.1.p,18,53683880,NA,NA,NA,NA
GlymaLee.18G175400.1.p,18,53767372,NA,NA,NA,NA
GlymaLee.18G214700.1.p,18,57766372,NA,NA,NA,NA
GlymaLee.18G224000.1.p,18,58536683,NA,NA,NA,NA
